,2026-03-31,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-58665000.0,-56769000.0,-1297000.0,-26188000.0
Repayment Of Debt,-21949000.0,-6067000.0,-106501000.0,-47002000.0
Issuance Of Debt,118375000.0,94619000.0,160960000.0,62213000.0
Capital Expenditure,-12612000.0,-21924000.0,-1195000.0,-23484000.0
End Cash Position,73246000.0,64111000.0,28221000.0,157836000.0
Beginning Cash Position,38321000.0,28221000.0,157836000.0,170953000.0
Effect Of Exchange Rate Changes,387000.0,503000.0,430000.0,-34000.0
Changes In Cash,34538000.0,35387000.0,-130045000.0,-13083000.0
Financing Cash Flow,94164000.0,87326000.0,-130555000.0,7800000.0
Cash Flow From Continuing Financing Activities,94164000.0,87326000.0,-130555000.0,7800000.0
Interest Paid Cff,-2262000.0,-1226000.0,-30493000.0,-7411000.0
Cash Dividends Paid,0.0,0.0,-154521000.0,0.0
Net Issuance Payments Of Debt,96426000.0,88552000.0,54459000.0,15211000.0
Net Long Term Debt Issuance,96426000.0,88552000.0,54459000.0,15211000.0
Long Term Debt Payments,-21949000.0,-6067000.0,-106501000.0,-47002000.0
Long Term Debt Issuance,118375000.0,94619000.0,160960000.0,62213000.0
Investing Cash Flow,-13573000.0,-17094000.0,614000.0,-18181000.0
Cash Flow From Continuing Investing Activities,-13573000.0,-17094000.0,266000.0,-17833000.0
Net Other Investing Changes,,,0.0,-348000.0
Net Investment Purchase And Sale,-961000.0,4818000.0,1821000.0,5639000.0
Net Business Purchase And Sale,0.0,12000.0,-360000.0,12000.0
Sale Of Business,,,,12000.0
Purchase Of Business,0.0,0.0,,
Net PPE Purchase And Sale,-12612000.0,-21924000.0,-1195000.0,-23484000.0
Purchase Of PPE,-12612000.0,-21924000.0,-1195000.0,-23484000.0
Operating Cash Flow,-46053000.0,-34845000.0,-102000.0,-2704000.0
Cash Flow From Continuing Operating Activities,-46053000.0,-34845000.0,-102000.0,-2704000.0
Taxes Refund Paid,-20673000.0,-1773000.0,-8063000.0,-2920000.0
Change In Working Capital,73541000.0,81857000.0,-36747000.0,-3484000.0
Change In Other Working Capital,2456000.0,31828000.0,176000.0,-21251000.0
Change In Other Current Liabilities,-582000.0,-10323000.0,-5161000.0,-220000.0
Change In Other Current Assets,96848000.0,33358000.0,-13738000.0,13643000.0
Change In Payables And Accrued Expense,-30007000.0,-20363000.0,82133000.0,33791000.0
Change In Payable,-30007000.0,-20363000.0,82133000.0,33791000.0
Change In Account Payable,-15657000.0,18296000.0,33567000.0,29547000.0
Change In Tax Payable,-519000.0,-7403000.0,17310000.0,4244000.0
Change In Income Tax Payable,-519000.0,-7403000.0,17310000.0,4244000.0
Change In Inventory,-10548000.0,-3478000.0,-143163000.0,30902000.0
Change In Receivables,15374000.0,-37746000.0,29317000.0,-60349000.0
Changes In Account Receivables,21078000.0,-47071000.0,46595000.0,-58796000.0
Other Non Cash Items,-124896000.0,-22716000.0,-25100000.0,-17680000.0
Stock Based Compensation,358000.0,450000.0,450000.0,450000.0
Provisionand Write Offof Assets,2762000.0,-2015000.0,1957000.0,-132000.0
Asset Impairment Charge,530000.0,2247000.0,-1547000.0,1939000.0
Deferred Tax,-12341000.0,10512000.0,-30416000.0,-7231000.0
Deferred Income Tax,-12341000.0,10512000.0,-30416000.0,-7231000.0
Depreciation Amortization Depletion,11709000.0,16199000.0,9408000.0,41106000.0
Depreciation And Amortization,11709000.0,16199000.0,9408000.0,41106000.0
Operating Gains Losses,37259000.0,-29931000.0,123270000.0,-112209000.0
Gain Loss On Investment Securities,8835000.0,-56503000.0,87852000.0,-31390000.0
Net Foreign Currency Exchange Gain Loss,29907000.0,22910000.0,36890000.0,22496000.0
Gain Loss On Sale Of PPE,595000.0,3662000.0,106461000.0,-103315000.0
Gain Loss On Sale Of Business,-2078000.0,0.0,,
Net Income From Continuing Operations,-14302000.0,-1094000.0,-19625000.0,97457000.0
